Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.lj-double,864,8,Output,0.00033425,0.00035336,0.00038451,0.0,0.01
in.lj-double,864,8,Modify,0.17155,0.18484,0.19891,2.4,7.48
in.lj-double,864,8,Other,,0.03239,,,1.31
in.lj-double,864,16,Pair,0.85644,0.90723,1.225,9.4,60.40
in.lj-double,864,16,Neigh,0.085791,0.086635,0.08993,0.3,5.77
in.lj-double,864,16,Comm,0.096946,0.40797,0.45752,13.6,27.16
in.lj-double,864,16,Output,0.0002613,0.0010025,0.0031758,3.9,0.07
in.lj-double,864,16,Modify,0.077804,0.082123,0.087929,0.9,5.47
in.lj-double,864,16,Other,,0.0171,,,1.14
in.lj-double,864,32,Pair,0.36779,0.4627,0.66176,7.9,57.31
in.lj-double,864,32,Neigh,0.035698,0.044387,0.04639,1.1,5.50
in.lj-double,864,32,Comm,0.052319,0.25086,0.35955,10.8,31.07
in.lj-double,864,32,Output,0.00015601,0.00072222,0.0021053,0.0,0.09
in.lj-double,864,32,Modify,0.032056,0.038379,0.041827,1.2,4.75
in.lj-double,864,32,Other,,0.01035,,,1.28
in.lj-double,864,64,Pair,0.1939,0.229,0.32169,6.5,54.60
in.lj-double,864,64,Neigh,0.019068,0.022049,0.024572,1.5,5.26
in.lj-double,864,64,Comm,0.043501,0.14005,0.17868,8.8,33.39
in.lj-double,864,64,Output,0.00013711,0.00029733,0.00094904,0.0,0.07
in.lj-double,864,64,Modify,0.016744,0.021105,0.025143,1.2,5.03
in.lj-double,864,64,Other,,0.006943,,,1.66
in.lj-double,2048,4,Pair,6.5504,6.7356,7.0097,6.9,74.46
in.lj-double,2048,4,Neigh,0.61285,0.62382,0.64846,1.8,6.90
in.lj-double,2048,4,Comm,0.59331,0.86342,1.0517,18.1,9.55
in.lj-double,2048,4,Output,0.001403,0.0014888,0.0015493,0.1,0.02
in.lj-double,2048,4,Modify,0.66448,0.69749,0.72515,2.6,7.71
in.lj-double,2048,4,Other,,0.1238,,,1.37
in.lj-double,2048,8,Pair,3.4876,3.6631,3.9298,7.7,71.15
in.lj-double,2048,8,Neigh,0.32645,0.33316,0.34323,1.1,6.47
in.lj-double,2048,8,Comm,0.38907,0.68014,0.87256,18.1,13.21
in.lj-double,2048,8,Output,0.00077707,0.0008511,0.0009433,0.0,0.02
in.lj-double,2048,8,Modify,0.37281,0.3952,0.41822,2.5,7.68
in.lj-double,2048,8,Other,,0.07628,,,1.48
in.lj-double,2048,16,Pair,1.8794,2.0704,2.5308,11.8,65.25
in.lj-double,2048,16,Neigh,0.17523,0.18236,0.1937,1.5,5.75
in.lj-double,2048,16,Comm,0.21154,0.67991,0.86795,20.6,21.43
in.lj-double,2048,16,Output,0.00049286,0.00079761,0.0016301,0.0,0.03
in.lj-double,2048,16,Modify,0.17716,0.19214,0.20377,2.1,6.06
in.lj-double,2048,16,Other,,0.04741,,,1.49
in.lj-double,2048,32,Pair,0.90475,1.1234,1.4508,8.9,62.53
in.lj-double,2048,32,Neigh,0.082688,0.10078,0.1077,2.2,5.61
in.lj-double,2048,32,Comm,0.12321,0.44096,0.68277,14.8,24.54
in.lj-double,2048,32,Output,0.00035493,0.0013599,0.0031235,3.1,0.08
in.lj-double,2048,32,Modify,0.083335,0.099774,0.11218,2.9,5.55
in.lj-double,2048,32,Other,,0.03031,,,1.69
in.lj-double,2048,64,Pair,0.53892,0.61824,0.77233,7.5,61.21
in.lj-double,2048,64,Neigh,0.043987,0.05,0.057088,2.3,4.95
in.lj-double,2048,64,Comm,0.093294,0.25715,0.35087,12.3,25.46
in.lj-double,2048,64,Output,0.00025702,0.00058781,0.0014113,0.0,0.06
in.lj-double,2048,64,Modify,0.046997,0.065507,0.075431,2.8,6.49
in.lj-double,2048,64,Other,,0.01857,,,1.84
in.lj-single,32,2,Pair,0.25549,0.25684,0.25819,0.3,75.32
in.lj-single,32,2,Neigh,0.024582,0.024736,0.02489,0.1,7.25
in.lj-single,32,2,Comm,0.032112,0.033164,0.034217,0.6,9.73
in.lj-single,32,2,Output,8.7947e-05,9.3059e-05,9.8171e-05,0.0,0.03
in.lj-single,32,2,Modify,0.019881,0.020165,0.020448,0.2,5.91
in.lj-single,32,2,Other,,0.005982,,,1.75
in.lj-single,32,4,Pair,0.12572,0.12756,0.12891,0.3,70.71
