Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%CPU,%total
in.chute.timer,864,2,Pair,0.090277,0.09039,0.090502,0.0,98.7,47.82
in.chute.timer,864,2,Neigh,0.021128,0.021205,0.021281,0.1,99.0,11.22
in.chute.timer,864,2,Comm,0.016083,0.016234,0.016386,0.1,96.7,8.59
in.chute.timer,864,2,Output,9.4474e-05,0.00011359,0.00013271,0.0,100.0,0.06
in.chute.timer,864,2,Modify,0.045308,0.046319,0.04733,0.5,98.3,24.50
in.chute.timer,864,2,Other,,0.01478,,,,7.82
in.chute.timer,864,4,Pair,0.039962,0.043269,0.046538,1.5,95.9,45.46
in.chute.timer,864,4,Neigh,0.010562,0.010661,0.010757,0.1,99.5,11.20
in.chute.timer,864,4,Comm,0.010657,0.011249,0.01183,0.5,94.7,11.82
in.chute.timer,864,4,Output,6.0002e-05,9.0947e-05,0.00012217,0.0,100.0,0.10
in.chute.timer,864,4,Modify,0.018059,0.018797,0.019854,0.5,95.7,19.75
in.chute.timer,864,4,Other,,0.01111,,,,11.67
in.chute.timer,864,8,Pair,0.020654,0.022754,0.025025,1.3,95.2,43.33
in.chute.timer,864,8,Neigh,0.0054352,0.0055023,0.0055888,0.1,100.0,10.48
in.chute.timer,864,8,Comm,0.0093541,0.0097439,0.010074,0.3,94.4,18.55
in.chute.timer,864,8,Output,4.8366e-05,6.8269e-05,8.6475e-05,0.0,99.4,0.13
in.chute.timer,864,8,Modify,0.0084887,0.0086471,0.0091203,0.2,95.8,16.46
in.chute.timer,864,8,Other,,0.005803,,,,11.05
in.chute.timer,864,16,Pair,0.0086465,0.0096348,0.010765,0.9,94.0,36.51
in.chute.timer,864,16,Neigh,0.0027769,0.0028107,0.0028484,0.0,93.7,10.65
in.chute.timer,864,16,Comm,0.0062173,0.0065694,0.0069903,0.3,92.8,24.90
in.chute.timer,864,16,Output,3.5193e-05,5.0467e-05,6.0541e-05,0.0,93.9,0.19
in.chute.timer,864,16,Modify,0.0040991,0.0041633,0.0041936,0.0,93.7,15.78
in.chute.timer,864,16,Other,,0.003157,,,,11.97
in.chute.timer,864,32,Pair,0.0031035,0.0044306,0.0053934,1.3,90.1,24.93
in.chute.timer,864,32,Neigh,0.0013462,0.0014256,0.0015472,0.2,85.8,8.02
in.chute.timer,864,32,Comm,0.0058215,0.0065027,0.0070947,0.4,88.4,36.60
in.chute.timer,864,32,Output,3.3346e-05,4.7717e-05,6.5868e-05,0.0,93.4,0.27
in.chute.timer,864,32,Modify,0.002056,0.0021664,0.0022976,0.2,89.4,12.19
in.chute.timer,864,32,Other,,0.003196,,,,17.99
in.chute.timer,864,64,Pair,0.0015218,0.0021695,0.0026897,0.8,52.7,13.03
in.chute.timer,864,64,Neigh,0.00068561,0.00072565,0.00078057,0.0,57.4,4.36
in.chute.timer,864,64,Comm,0.0068391,0.0083495,0.0095026,0.8,51.8,50.15
in.chute.timer,864,64,Output,3.0356e-05,6.0721e-05,0.00010851,0.0,91.8,0.36
in.chute.timer,864,64,Modify,0.001078,0.0011539,0.0012297,0.1,52.8,6.93
in.chute.timer,864,64,Other,,0.004191,,,,25.17
in.chute.timer,2048,1,Pair,0.17282,0.17282,0.17282,0.0,99.0,49.61
in.chute.timer,2048,1,Neigh,0.034272,0.034272,0.034272,0.0,98.6,9.84
in.chute.timer,2048,1,Comm,0.01776,0.01776,0.01776,0.0,97.7,5.10
in.chute.timer,2048,1,Output,0.00020722,0.00020722,0.00020722,0.0,100.0,0.06
in.chute.timer,2048,1,Modify,0.097093,0.097093,0.097093,0.0,96.8,27.87
in.chute.timer,2048,1,Other,,0.02618,,,,7.52
in.chute.timer,2048,2,Pair,0.089353,0.089752,0.09015,0.1,97.6,47.49
in.chute.timer,2048,2,Neigh,0.020927,0.021041,0.021155,0.1,99.7,11.13
in.chute.timer,2048,2,Comm,0.016384,0.016512,0.01664,0.1,96.7,8.74
in.chute.timer,2048,2,Output,9.3892e-05,0.00011052,0.00012714,0.0,100.0,0.06
in.chute.timer,2048,2,Modify,0.045448,0.046081,0.046715,0.3,96.9,24.38
in.chute.timer,2048,2,Other,,0.01551,,,,8.21
in.chute.timer,2048,4,Pair,0.04001,0.043322,0.04676,1.5,98.0,45.77
in.chute.timer,2048,4,Neigh,0.010716,0.010756,0.010832,0.0,99.3,11.36
in.chute.timer,2048,4,Comm,0.010639,0.011148,0.011653,0.5,98.0,11.78
in.chute.timer,2048,4,Output,5.7056e-05,9.2088e-05,0.00012625,0.0,99.9,0.10
in.chute.timer,2048,4,Modify,0.018132,0.018759,0.019574,0.4,98.1,19.82
in.chute.timer,2048,4,Other,,0.01057,,,,11.17
in.chute.timer,2048,8,Pair,0.020487,0.022633,0.025006,1.3,86.1,43.06
