Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Alltoall,MPI_Waitany,MPI_Bcast,MPI_Cart_create,MPI_Comm_size,MPI_Finalize,MPI_Comm_rank,MPI_Comm_dup,MPI_Barrier,MPI_Reduce,MPI_Wait,MPI_Sendrecv,MPI_Init,MPI_Alltoallv,MPI_Cart_get,MPI_Irecv,MPI_Allreduce,MPI_Allgather,MPI_Comm_free,MPI_Cart_rank,MPI_Send,Processes,Size
in.rhodo-e-6,41.58,24.13,27.61,3.3,5.94,1.16,296.63,0.17,7.47,1.14,0.03,0.0,0.16,0.0,0.03,0.08,0.0,9.92,0.22,51.19,0.63,0.0,0.09,6.79,0.01,0.0,0.0,22.08,64.0,2048.0
in.rhodo-e-7,4.64,4.12,4.38,0.22,0.25,0.19,3.81,0.01,21.2,1.54,0.08,0.0,0.05,0.0,0.08,0.03,0.0,18.65,0.55,35.85,0.02,0.0,0.19,4.02,0.0,0.0,0.0,17.73,2.0,32.0
in.rhodo-e-7,12.66,9.69,11.02,1.04,2.28,0.34,10.45,0.03,9.85,1.72,0.04,0.0,0.05,0.0,0.06,0.01,0.0,17.07,0.54,17.73,0.02,0.0,0.21,5.92,0.01,0.0,0.0,46.73,4.0,32.0
in.rhodo-e-7,21.59,13.78,17.31,2.18,3.56,1.06,18.33,0.02,14.35,2.68,0.06,0.0,0.07,0.0,0.06,0.01,0.0,18.23,0.46,32.9,0.09,0.0,0.26,10.25,0.01,0.0,0.0,20.57,8.0,32.0
in.rhodo-e-7,40.67,26.84,30.92,2.92,6.48,0.95,42.3,0.02,10.4,2.58,0.07,0.0,0.08,0.0,0.05,0.01,0.0,13.93,0.25,57.46,0.08,0.0,0.2,7.76,0.01,0.0,0.0,7.09,16.0,32.0
in.rhodo-e-7,57.55,39.05,44.06,4.87,10.45,1.83,88.0,0.03,8.07,3.44,0.08,0.0,0.14,0.0,0.07,0.01,0.0,14.12,0.21,56.96,0.16,0.0,0.24,11.24,0.02,0.0,0.0,5.21,32.0,32.0
in.rhodo-e-7,80.42,54.61,63.01,5.2,8.62,2.01,231.82,0.14,7.24,1.57,0.02,0.0,0.21,0.0,0.04,0.02,0.0,10.89,0.17,66.13,0.6,0.0,0.24,8.52,0.02,0.0,0.0,4.21,64.0,32.0
in.rhodo-e-7,5.43,5.17,5.3,1.75,2.05,1.45,6.3,0.03,5.08,1.07,0.04,0.0,0.03,0.0,0.03,0.03,0.0,14.42,0.14,23.45,0.04,0.0,0.05,1.37,0.0,0.0,0.0,54.21,2.0,256.0
in.rhodo-e-7,14.52,10.75,12.39,4.87,7.09,3.34,16.57,0.05,1.29,1.62,0.03,0.0,0.03,0.0,0.04,0.05,0.0,4.31,0.19,10.08,0.06,0.0,0.05,2.5,0.01,0.0,0.0,79.68,4.0,256.0
in.rhodo-e-7,21.15,14.66,17.92,4.14,5.44,1.79,26.09,0.04,7.33,1.98,0.04,0.0,0.05,0.0,0.03,0.03,0.0,7.93,0.23,19.37,0.06,0.0,0.07,3.78,0.01,0.0,0.0,59.06,8.0,256.0
in.rhodo-e-7,35.12,23.3,27.67,3.66,6.78,1.68,50.23,0.05,6.67,2.81,0.07,0.0,0.07,0.0,0.06,0.02,0.0,9.56,0.24,42.16,0.14,0.0,0.07,5.16,0.01,0.0,0.0,32.9,16.0,256.0
in.rhodo-e-7,53.82,35.62,40.06,3.78,8.56,1.36,96.6,0.05,4.64,3.15,0.08,0.0,0.13,0.0,0.06,0.02,0.0,7.81,0.2,63.63,0.25,0.0,0.08,5.54,0.01,0.0,0.0,14.35,32.0,256.0
in.rhodo-e-7,73.33,49.56,56.7,5.35,9.97,1.17,214.14,0.19,6.94,1.57,0.03,0.0,0.23,0.0,0.04,0.02,0.0,7.59,0.13,70.94,0.64,0.0,0.08,6.21,0.02,0.0,0.0,5.37,64.0,256.0
in.rhodo-e-7,5.76,5.63,5.7,3.65,3.71,3.6,23.86,0.02,2.44,0.43,0.02,0.0,0.01,0.0,0.01,0.01,0.0,9.15,0.92,6.21,0.03,0.0,0.02,1.45,0.0,0.0,0.0,79.3,2.0,864.0
in.rhodo-e-7,12.83,12.33,12.56,8.29,8.54,7.99,55.71,0.03,0.75,0.74,0.01,0.0,0.01,0.0,0.01,0.01,0.0,1.59,0.81,3.27,0.02,0.0,0.02,1.35,0.0,0.0,0.0,91.38,4.0,864.0
in.rhodo-e-7,17.91,15.43,16.57,9.25,10.07,8.2,79.73,0.04,4.37,1.03,0.02,0.0,0.02,0.0,0.02,0.01,0.0,2.7,0.86,4.57,0.05,0.0,0.03,2.58,0.0,0.0,0.0,83.71,8.0,864.0
in.rhodo-e-7,22.45,19.43,20.84,8.37,11.03,7.0,111.33,0.04,5.86,1.21,0.02,0.0,0.03,0.0,0.02,0.04,0.0,5.53,0.64,10.59,0.08,0.0,0.05,2.94,0.01,0.0,0.0,72.94,16.0,864.0
in.rhodo-e-7,33.87,25.35,27.8,4.86,8.92,2.89,171.09,0.05,9.86,1.91,0.04,0.0,0.07,0.0,0.03,0.03,0.0,7.71,0.55,31.03,0.16,0.0,0.07,4.37,0.01,0.0,0.0,44.12,32.0,864.0
in.rhodo-e-7,52.27,34.38,37.6,4.19,8.81,1.76,323.3,0.15,8.23,1.47,0.03,0.0,0.14,0.0,0.03,0.04,0.0,8.46,0.35,47.04,0.55,0.0,0.09,5.66,0.01,0.0,0.0,27.75,64.0,864.0
in.rhodo-e-7,18.93,18.02,18.5,4.1,7.79,0.79,1.61,3.27,0.0,4.84,0.32,0.0,0.0,0.0,0.11,0.18,0.0,4.31,9.44,74.2,0.8,0.0,0.0,2.14,0.01,0.0,0.0,0.36,2.0,2048.0
in.rhodo-e-7,12.67,12.05,12.32,8.98,9.41,8.51,133.2,0.06,0.74,0.2,0.01,0.0,0.0,0.0,0.0,0.04,0.0,1.58,0.23,1.04,0.01,0.0,0.01,1.47,0.0,0.0,0.0,94.59,4.0,2048.0
in.rhodo-e-7,16.0,14.88,15.44,9.83,10.37,9.17,176.45,0.03,6.79,0.34,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.53,0.17,3.5,0.04,0.0,0.02,1.66,0.0,0.0,0.0,86.88,8.0,2048.0
in.rhodo-e-7,21.84,18.15,19.95,11.6,13.16,9.88,250.55,0.03,5.75,0.59,0.02,0.0,0.01,0.0,0.01,0.02,0.0,1.91,0.13,5.78,0.06,0.0,0.02,2.94,0.0,0.0,0.0,82.73,16.0,2048.0
in.rhodo-e-7,29.43,23.11,26.32,10.91,12.68,8.16,397.92,0.03,8.43,0.86,0.02,0.0,0.03,0.0,0.02,0.02,0.0,5.66,0.1,15.08,0.09,0.0,0.04,4.19,0.0,0.0,0.0,65.43,32.0,2048.0
in.rhodo-e-7,40.84,27.19,32.45,10.03,13.46,5.8,671.02,0.08,10.95,0.53,0.01,0.0,0.07,0.0,0.01,0.02,0.0,8.19,0.1,22.66,0.3,0.0,0.11,6.55,0.01,0.0,0.0,50.42,64.0,2048.0
