Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.chute,864,16,Pair,0.083435,0.092481,0.1397,4.3,26.17
in.chute,864,16,Neigh,0.023636,0.02554,0.050434,4.0,7.23
in.chute,864,16,Comm,0.018242,0.035048,0.049952,4.1,9.92
in.chute,864,16,Output,0.00015985,0.0002212,0.00039727,0.0,0.06
in.chute,864,16,Modify,0.037146,0.039889,0.064237,3.2,11.29
in.chute,864,16,Other,,0.1602,,,45.33
in.chute,864,32,Pair,0.036453,0.047999,0.056947,1.8,23.01
in.chute,864,32,Neigh,0.0096023,0.012437,0.025485,2.1,5.96
in.chute,864,32,Comm,0.011189,0.029163,0.057125,6.9,13.98
in.chute,864,32,Output,9.0485e-05,0.00014317,0.00028203,0.0,0.07
in.chute,864,32,Modify,0.01529,0.019632,0.047471,3.6,9.41
in.chute,864,32,Other,,0.09926,,,47.57
in.chute,864,64,Pair,0.016514,0.021061,0.051294,3.4,20.93
in.chute,864,64,Neigh,0.004788,0.0055281,0.0062912,0.8,5.49
in.chute,864,64,Comm,0.0078687,0.008615,0.0092632,0.4,8.56
in.chute,864,64,Output,4.1212e-05,0.00010248,0.00015356,0.0,0.10
in.chute,864,64,Modify,0.0071625,0.0081859,0.0091831,1.0,8.13
in.chute,864,64,Other,,0.05714,,,56.78
in.chute,2048,2,Pair,1.1864,1.6395,2.0925,35.4,39.46
in.chute,2048,2,Neigh,0.28873,0.39096,0.49318,16.3,9.41
in.chute,2048,2,Comm,0.1233,0.12413,0.12496,0.2,2.99
in.chute,2048,2,Output,0.0011258,0.009112,0.017098,8.4,0.22
in.chute,2048,2,Modify,0.55092,0.81943,1.0879,29.7,19.72
in.chute,2048,2,Other,,1.172,,,28.21
in.chute,2048,4,Pair,0.55919,0.6831,0.99651,22.0,31.35
in.chute,2048,4,Neigh,0.14545,0.1791,0.25449,10.4,8.22
in.chute,2048,4,Comm,0.052251,0.16612,0.28029,23.0,7.62
in.chute,2048,4,Output,0.00063926,0.012435,0.016941,6.1,0.57
in.chute,2048,4,Modify,0.27134,0.32291,0.4362,11.7,14.82
in.chute,2048,4,Other,,0.8151,,,37.41
in.chute,2048,8,Pair,0.31158,0.32391,0.38862,4.3,27.17
