Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.eam-double,32,4,Neigh,0.00011218,0.00012294,0.00013856,0.0,0.08
in.eam-double,32,4,Comm,0.029763,0.032168,0.035791,1.1,21.07
in.eam-double,32,4,Output,0.00013123,0.00047224,0.000724,0.0,0.31
in.eam-double,32,4,Modify,0.0014086,0.0015084,0.0016032,0.1,0.99
in.eam-double,32,4,Other,,0.0101,,,6.62
in.eam-double,32,6,Pair,0.092981,0.097418,0.10209,0.7,69.55
in.eam-double,32,6,Neigh,7.8057e-05,8.8347e-05,9.9027e-05,0.0,0.06
in.eam-double,32,6,Comm,0.028468,0.032207,0.035949,0.9,22.99
in.eam-double,32,6,Output,0.00017631,0.00047164,0.00082269,0.0,0.34
in.eam-double,32,6,Modify,0.0010649,0.0011737,0.0012584,0.1,0.84
in.eam-double,32,6,Other,,0.008703,,,6.21
in.eam-double,32,8,Pair,0.089273,0.095905,0.10075,1.1,66.11
in.eam-double,32,8,Neigh,6.0369e-05,7.2249e-05,8.9102e-05,0.0,0.05
in.eam-double,32,8,Comm,0.033002,0.037088,0.043138,1.7,25.56
in.eam-double,32,8,Output,0.00035841,0.00054076,0.00075861,0.0,0.37
in.eam-double,32,8,Modify,0.00092219,0.001019,0.001232,0.2,0.70
in.eam-double,32,8,Other,,0.01045,,,7.20
in.eam-double,256,1,Pair,0.48538,0.51442,0.54798,2.2,70.81
in.eam-double,256,1,Neigh,0.00082132,0.0008699,0.00093966,0.0,0.12
in.eam-double,256,1,Comm,0.10651,0.12937,0.15148,3.4,17.81
in.eam-double,256,1,Output,0.001316,0.003086,0.0049441,1.8,0.42
in.eam-double,256,1,Modify,0.0091945,0.0096935,0.010952,0.4,1.33
in.eam-double,256,1,Other,,0.06905,,,9.50
in.eam-double,256,2,Pair,0.38642,0.40782,0.43881,2.2,70.25
in.eam-double,256,2,Neigh,0.00047293,0.0005452,0.0008494,0.0,0.09
in.eam-double,256,2,Comm,0.090852,0.11316,0.1241,2.7,19.49
in.eam-double,256,2,Output,0.00051496,0.0024047,0.0041856,1.9,0.41
in.eam-double,256,2,Modify,0.0045027,0.005112,0.0058586,0.5,0.88
in.eam-double,256,2,Other,,0.05147,,,8.87
in.eam-double,256,4,Pair,0.29852,0.31185,0.32876,1.3,72.02
in.eam-double,256,4,Neigh,0.00039766,0.00043554,0.0004806,0.0,0.10
in.eam-double,256,4,Comm,0.070273,0.081544,0.09258,1.8,18.83
in.eam-double,256,4,Output,0.00042978,0.0019724,0.0034363,1.7,0.46
in.eam-double,256,4,Modify,0.0041763,0.0045054,0.0048072,0.2,1.04
in.eam-double,256,4,Other,,0.03268,,,7.55
in.eam-double,256,6,Pair,0.2562,0.26921,0.28752,1.4,69.03
in.eam-double,256,6,Neigh,0.00024619,0.00028684,0.00032623,0.0,0.07
in.eam-double,256,6,Comm,0.071366,0.083739,0.093503,2.1,21.47
in.eam-double,256,6,Output,0.00062615,0.0017711,0.002835,1.4,0.45
in.eam-double,256,6,Modify,0.0026358,0.0029996,0.0033933,0.3,0.77
in.eam-double,256,6,Other,,0.03198,,,8.20
in.eam-double,256,8,Pair,0.21547,0.22263,0.23015,0.8,69.24
in.eam-double,256,8,Neigh,0.00026868,0.00030085,0.00035707,0.0,0.09
in.eam-double,256,8,Comm,0.060894,0.069714,0.076405,1.2,21.68
in.eam-double,256,8,Output,0.00038238,0.0012811,0.0021306,1.2,0.40
in.eam-double,256,8,Modify,0.0027963,0.0029983,0.0034217,0.2,0.93
in.eam-double,256,8,Other,,0.02459,,,7.65
in.eam-single,32,1,Pair,0.14704,0.15664,0.16338,1.3,71.30
in.eam-single,32,1,Neigh,0.00018065,0.00019367,0.00020311,0.0,0.09
in.eam-single,32,1,Comm,0.035611,0.040189,0.046298,1.6,18.29
in.eam-single,32,1,Output,0.0002272,0.00076564,0.0013183,0.0,0.35
in.eam-single,32,1,Modify,0.0021349,0.0022123,0.0023021,0.1,1.01
in.eam-single,32,1,Other,,0.01968,,,8.96
in.eam-single,32,2,Pair,0.13647,0.1497,0.16121,1.7,71.19
in.eam-single,32,2,Neigh,8.7091e-05,0.00010772,0.00013502,0.0,0.05
in.eam-single,32,2,Comm,0.033374,0.039735,0.046943,1.7,18.90
in.eam-single,32,2,Output,0.00011964,0.0008135,0.0015102,0.0,0.39
in.eam-single,32,2,Modify,0.0012462,0.001438,0.001625,0.3,0.68
in.eam-single,32,2,Other,,0.01849,,,8.79
in.eam-single,32,4,Pair,0.088565,0.091037,0.097393,0.9,68.11
in.eam-single,32,4,Neigh,0.00010329,0.00012941,0.00020414,0.0,0.10
in.eam-single,32,4,Comm,0.0283,0.031753,0.033496,1.0,23.76
in.eam-single,32,4,Output,0.00024833,0.00039405,0.00055082,0.0,0.29
