TAG,EXEC_TIME,PERFORMANCE,POWER
32x_16n_2ppn_4ont_p220,63.220651388168335,71.927167,494.055
32x_1n_1ppn_128ont_p220,60.96470761299133,7.505902,451.8954166666667
32x_2n_2ppn_32ont,61.56295704841614,41.136735,
32x_2n_2ppn_32ont_p220,61.80710482597351,38.599229,488.13916666666665
32x_32n_1ppn_4ont,62.369957447052,66.100046,
32x_32n_1ppn_4ont_p220,62.9634222984314,65.143209,492.75104166666665
32x_32n_2ppn_2ont,63.84869766235352,65.131723,
32x_32n_2ppn_2ont_p220,63.64228916168213,65.100245,492.68645833333335
32x_4n_1ppn_32ont,72.0150818824768,50.649937,
32x_4n_1ppn_32ont_p220,72.95143365859985,50.314968,496.023125
32x_4n_2ppn_16ont,65.13000845909119,68.228043,
32x_4n_2ppn_16ont_p220,65.30963110923767,68.194005,495.3020833333333
32x_64n_1ppn_2ont,66.17948150634766,61.059438,
32x_64n_1ppn_2ont_p220,65.38624000549316,60.691746,491.048125
32x_64n_2ppn_1ont,65.6954836845398,60.338655,
32x_64n_2ppn_1ont_p220,65.6319432258606,60.341915,491.1152083333333
32x_8n_1ppn_16ont,62.97861909866333,69.823998,
32x_8n_1ppn_16ont_p220,63.085036277771,72.386406,495.1820833333333
32x_8n_2ppn_8ont,63.920132637023926,76.759021,
32x_8n_2ppn_8ont_p220,64.17222595214844,79.180222,495.295625
64.128.128x_16n_1ppn_1ont_p210,94.83334066867829,32.4236774,329.6880536912752
64.128.128x_16n_1ppn_2ont_p210,85.82975733280182,47.3656559,409.07387248322146
64.64.128x_32n_1ppn_1ont_p210,82.81321160793304,46.7975519,409.84917449664425
64.64.128x_32n_1ppn_2ont_p210,81.06418571472167,56.4851814,494.19343624161075
